17	8	1	0.08	[work, package, uses, cms, content, ensure, impacted, topics, checked, cms, recent, version, content, available, state, work, flow]	[filter, list, work, packages, select, desired, filter, options]	[work]
17	3	0	0	[work, package, uses, cms, content, ensure, impacted, topics, checked, cms, recent, version, content, available, state, work, flow]	[click, apply, filters]	[]
17	10	2	0.14814815	[work, package, uses, cms, content, ensure, impacted, topics, checked, cms, recent, version, content, available, state, work, flow]	[list, work, packages, filtered, work, packages, meet, selected, options, displayed]	[work, work]
17	8	1	0.08	[work, package, uses, cms, content, ensure, impacted, topics, checked, cms, recent, version, content, available, state, work, flow]	[unfilter, list, work, packages, click, clear, filter, options]	[work]
17	3	0	0	[work, package, uses, cms, content, ensure, impacted, topics, checked, cms, recent, version, content, available, state, work, flow]	[click, apply, filters]	[]
17	5	1	0.09090909	[work, package, uses, cms, content, ensure, impacted, topics, checked, cms, recent, version, content, available, state, work, flow]	[complete, list, work, packages, displayed]	[work]
17	6	1	0.08695652	[work, package, uses, cms, content, ensure, impacted, topics, checked, cms, recent, version, content, available, state, work, flow]	[list, work, packages, changed, based, selection]	[work]
17	9	1	0.07692308	[work, package, uses, cms, content, ensure, impacted, topics, checked, cms, recent, version, content, available, state, work, flow]	[example, situation, want, outstanding, work, packages, impact, certain, deliverable]	[work]
17	14	2	0.12903225	[work, package, uses, cms, content, ensure, impacted, topics, checked, cms, recent, version, content, available, state, work, flow]	[case, using, filters, select, desired, asset, work, states, every, state, complete, click, apply, filters]	[work, state]
13	10	3	0.26086956	[update, work, packages, transition, state, work, flow, adjust, hours, edit, work, package, details]	[changing, work, packages, view, sort, filter, view, work, packages, interested]	[work, packages, work]
13	11	4	0.33333334	[update, work, packages, transition, state, work, flow, adjust, hours, edit, work, package, details]	[work, packages, tab, long, list, work, packages, various, states, work, flow]	[work, packages, work, work]
13	11	3	0.25	[update, work, packages, transition, state, work, flow, adjust, hours, edit, work, package, details]	[filter, list, work, packages, interested, sort, list, work, packages, specified, order]	[work, packages, work]
13	9	0	0	[update, work, packages, transition, state, work, flow, adjust, hours, edit, work, package, details]	[sort, filter, using, options, assignment, status, name, date, feature]	[]
13	4	2	0.23529412	[update, work, packages, transition, state, work, flow, adjust, hours, edit, work, package, details]	[click, work, packages, tab]	[work, packages]
13	8	2	0.1904762	[update, work, packages, transition, state, work, flow, adjust, hours, edit, work, package, details]	[sort, list, work, packages, clicking, sort, selecting, option]	[work, packages]
13	7	2	0.2	[update, work, packages, transition, state, work, flow, adjust, hours, edit, work, package, details]	[list, work, packages, sorted, based, option, selected]	[work, packages]
13	8	2	0.1904762	[update, work, packages, transition, state, work, flow, adjust, hours, edit, work, package, details]	[filter, list, work, packages, select, desired, filter, options]	[work, packages]
13	3	0	0	[update, work, packages, transition, state, work, flow, adjust, hours, edit, work, package, details]	[click, apply, filters]	[]
13	10	3	0.26086956	[update, work, packages, transition, state, work, flow, adjust, hours, edit, work, package, details]	[list, work, packages, filtered, work, packages, meet, selected, options, displayed]	[work, packages, work]
13	8	2	0.1904762	[update, work, packages, transition, state, work, flow, adjust, hours, edit, work, package, details]	[unfilter, list, work, packages, click, clear, filter, options]	[work, packages]
13	3	0	0	[update, work, packages, transition, state, work, flow, adjust, hours, edit, work, package, details]	[click, apply, filters]	[]
13	5	2	0.22222222	[update, work, packages, transition, state, work, flow, adjust, hours, edit, work, package, details]	[complete, list, work, packages, displayed]	[work, packages]
13	6	2	0.21052632	[update, work, packages, transition, state, work, flow, adjust, hours, edit, work, package, details]	[list, work, packages, changed, based, selection]	[work, packages]
13	9	2	0.18181819	[update, work, packages, transition, state, work, flow, adjust, hours, edit, work, package, details]	[example, situation, want, outstanding, work, packages, impact, certain, deliverable]	[work, packages]
13	14	2	0.14814815	[update, work, packages, transition, state, work, flow, adjust, hours, edit, work, package, details]	[case, using, filters, select, desired, asset, work, states, every, state, complete, click, apply, filters]	[work, state]
7	10	3	0.3529412	[desired, work, package, work, work, packages, tab]	[changing, work, packages, view, sort, filter, view, work, packages, interested]	[work, work, packages]
7	11	3	0.33333334	[desired, work, package, work, work, packages, tab]	[work, packages, tab, long, list, work, packages, various, states, work, flow]	[work, packages, tab]
7	11	3	0.33333334	[desired, work, package, work, work, packages, tab]	[filter, list, work, packages, interested, sort, list, work, packages, specified, order]	[work, work, packages]
7	9	0	0	[desired, work, package, work, work, packages, tab]	[sort, filter, using, options, assignment, status, name, date, feature]	[]
7	4	3	0.54545456	[desired, work, package, work, work, packages, tab]	[click, work, packages, tab]	[work, packages, tab]
7	8	2	0.26666668	[desired, work, package, work, work, packages, tab]	[sort, list, work, packages, clicking, sort, selecting, option]	[work, packages]
7	7	2	0.2857143	[desired, work, package, work, work, packages, tab]	[list, work, packages, sorted, based, option, selected]	[work, packages]
7	8	2	0.26666668	[desired, work, package, work, work, packages, tab]	[filter, list, work, packages, select, desired, filter, options]	[work, packages]
7	3	0	0	[desired, work, package, work, work, packages, tab]	[click, apply, filters]	[]
7	10	3	0.3529412	[desired, work, package, work, work, packages, tab]	[list, work, packages, filtered, work, packages, meet, selected, options, displayed]	[work, work, packages]
7	8	2	0.26666668	[desired, work, package, work, work, packages, tab]	[unfilter, list, work, packages, click, clear, filter, options]	[work, packages]
7	3	0	0	[desired, work, package, work, work, packages, tab]	[click, apply, filters]	[]
7	5	2	0.33333334	[desired, work, package, work, work, packages, tab]	[complete, list, work, packages, displayed]	[work, packages]
7	6	2	0.30769232	[desired, work, package, work, work, packages, tab]	[list, work, packages, changed, based, selection]	[work, packages]
7	9	2	0.25	[desired, work, package, work, work, packages, tab]	[example, situation, want, outstanding, work, packages, impact, certain, deliverable]	[work, packages]
7	14	2	0.1904762	[desired, work, package, work, work, packages, tab]	[case, using, filters, select, desired, asset, work, states, every, state, complete, click, apply, filters]	[desired, work]
2	10	0	0	[click, update]	[changing, work, packages, view, sort, filter, view, work, packages, interested]	[]
2	11	0	0	[click, update]	[work, packages, tab, long, list, work, packages, various, states, work, flow]	[]
2	11	0	0	[click, update]	[filter, list, work, packages, interested, sort, list, work, packages, specified, order]	[]
2	9	0	0	[click, update]	[sort, filter, using, options, assignment, status, name, date, feature]	[]
2	4	1	0.33333334	[click, update]	[click, work, packages, tab]	[click]
2	8	0	0	[click, update]	[sort, list, work, packages, clicking, sort, selecting, option]	[]
2	7	0	0	[click, update]	[list, work, packages, sorted, based, option, selected]	[]
2	8	0	0	[click, update]	[filter, list, work, packages, select, desired, filter, options]	[]
2	3	1	0.4	[click, update]	[click, apply, filters]	[click]
2	10	0	0	[click, update]	[list, work, packages, filtered, work, packages, meet, selected, options, displayed]	[]
2	8	1	0.2	[click, update]	[unfilter, list, work, packages, click, clear, filter, options]	[click]
2	3	1	0.4	[click, update]	[click, apply, filters]	[click]
2	5	0	0	[click, update]	[complete, list, work, packages, displayed]	[]
2	6	0	0	[click, update]	[list, work, packages, changed, based, selection]	[]
2	9	0	0	[click, update]	[example, situation, want, outstanding, work, packages, impact, certain, deliverable]	[]
2	14	1	0.125	[click, update]	[case, using, filters, select, desired, asset, work, states, every, state, complete, click, apply, filters]	[click]
5	10	1	0.13333334	[make, desired, changes, work, package]	[changing, work, packages, view, sort, filter, view, work, packages, interested]	[work]
5	11	1	0.125	[make, desired, changes, work, package]	[work, packages, tab, long, list, work, packages, various, states, work, flow]	[work]
5	11	1	0.125	[make, desired, changes, work, package]	[filter, list, work, packages, interested, sort, list, work, packages, specified, order]	[work]
5	9	0	0	[make, desired, changes, work, package]	[sort, filter, using, options, assignment, status, name, date, feature]	[]
5	4	1	0.22222222	[make, desired, changes, work, package]	[click, work, packages, tab]	[work]
5	8	1	0.15384616	[make, desired, changes, work, package]	[sort, list, work, packages, clicking, sort, selecting, option]	[work]
5	7	1	0.16666667	[make, desired, changes, work, package]	[list, work, packages, sorted, based, option, selected]	[work]
5	8	1	0.15384616	[make, desired, changes, work, package]	[filter, list, work, packages, select, desired, filter, options]	[work]
5	3	0	0	[make, desired, changes, work, package]	[click, apply, filters]	[]
5	10	1	0.13333334	[make, desired, changes, work, package]	[list, work, packages, filtered, work, packages, meet, selected, options, displayed]	[work]
5	8	1	0.15384616	[make, desired, changes, work, package]	[unfilter, list, work, packages, click, clear, filter, options]	[work]
5	3	0	0	[make, desired, changes, work, package]	[click, apply, filters]	[]
5	5	1	0.2	[make, desired, changes, work, package]	[complete, list, work, packages, displayed]	[work]
5	6	1	0.18181819	[make, desired, changes, work, package]	[list, work, packages, changed, based, selection]	[work]
5	9	1	0.14285715	[make, desired, changes, work, package]	[example, situation, want, outstanding, work, packages, impact, certain, deliverable]	[work]
5	14	2	0.21052632	[make, desired, changes, work, package]	[case, using, filters, select, desired, asset, work, states, every, state, complete, click, apply, filters]	[desired, work]
8	10	2	0.22222222	[changes, include, moving, work, package, state, work, flow]	[changing, work, packages, view, sort, filter, view, work, packages, interested]	[work, work]
8	11	3	0.31578946	[changes, include, moving, work, package, state, work, flow]	[work, packages, tab, long, list, work, packages, various, states, work, flow]	[work, work, flow]
8	11	2	0.21052632	[changes, include, moving, work, package, state, work, flow]	[filter, list, work, packages, interested, sort, list, work, packages, specified, order]	[work, work]
8	9	0	0	[changes, include, moving, work, package, state, work, flow]	[sort, filter, using, options, assignment, status, name, date, feature]	[]
8	4	1	0.16666667	[changes, include, moving, work, package, state, work, flow]	[click, work, packages, tab]	[work]
8	8	1	0.125	[changes, include, moving, work, package, state, work, flow]	[sort, list, work, packages, clicking, sort, selecting, option]	[work]
8	7	1	0.13333334	[changes, include, moving, work, package, state, work, flow]	[list, work, packages, sorted, based, option, selected]	[work]
8	8	1	0.125	[changes, include, moving, work, package, state, work, flow]	[filter, list, work, packages, select, desired, filter, options]	[work]
8	3	0	0	[changes, include, moving, work, package, state, work, flow]	[click, apply, filters]	[]
8	10	2	0.22222222	[changes, include, moving, work, package, state, work, flow]	[list, work, packages, filtered, work, packages, meet, selected, options, displayed]	[work, work]
8	8	1	0.125	[changes, include, moving, work, package, state, work, flow]	[unfilter, list, work, packages, click, clear, filter, options]	[work]
8	3	0	0	[changes, include, moving, work, package, state, work, flow]	[click, apply, filters]	[]
8	5	1	0.15384616	[changes, include, moving, work, package, state, work, flow]	[complete, list, work, packages, displayed]	[work]
8	6	1	0.14285715	[changes, include, moving, work, package, state, work, flow]	[list, work, packages, changed, based, selection]	[work]
8	9	1	0.11764706	[changes, include, moving, work, package, state, work, flow]	[example, situation, want, outstanding, work, packages, impact, certain, deliverable]	[work]
8	14	2	0.18181819	[changes, include, moving, work, package, state, work, flow]	[case, using, filters, select, desired, asset, work, states, every, state, complete, click, apply, filters]	[work, state]
6	10	1	0.125	[declaring, approval, content, associated, work, package]	[changing, work, packages, view, sort, filter, view, work, packages, interested]	[work]
6	11	1	0.11764706	[declaring, approval, content, associated, work, package]	[work, packages, tab, long, list, work, packages, various, states, work, flow]	[work]
6	11	1	0.11764706	[declaring, approval, content, associated, work, package]	[filter, list, work, packages, interested, sort, list, work, packages, specified, order]	[work]
6	9	0	0	[declaring, approval, content, associated, work, package]	[sort, filter, using, options, assignment, status, name, date, feature]	[]
6	4	1	0.2	[declaring, approval, content, associated, work, package]	[click, work, packages, tab]	[work]
